Name,Style,Brewery,ABV,Astringency,Body,Alcohol,Bitter,Sweet,Sour,Salty,Fruits,Hoppy,Spices,Malty
Amber,Altbier,Alaskan Brewing Co.,5.3,13,32,9,47,74,33,0,33,57,8,111
Double Bag,Altbier,Long Trail Brewing Co.,7.2,12,57,18,33,55,16,0,24,35,12,84
Long Trail Ale,Altbier,Long Trail Brewing Co.,5,14,37,6,42,43,11,0,10,54,4,62
Doppelsticke,Altbier,Uerige Obergärige Hausbrauerei GmbH / Zum Uerige,8.5,13,55,31,47,101,18,1,49,40,16,119
Sleigh'r Dark Doüble Alt Ale,Altbier,Ninkasi Brewing Company,7.2,25,51,26,44,45,9,1,11,51,20,95
Sticke,Altbier,Uerige Obergärige Hausbrauerei GmbH / Zum Uerige,6,22,45,13,46,62,25,1,34,60,4,103
Okto Festival Ale,Altbier,Widmer Brothers Brewing Company,5.3,28,40,3,40,58,29,0,36,54,8,97
Southampton Altbier,Altbier,Southampton Publick House,5,18,49,5,37,73,22,0,21,37,4,98
Copper,Altbier,The Olde Mecklenburg Brewery,4.8,25,35,4,38,39,13,1,8,60,16,97
Organic Münster Alt,Altbier,Brauerei Pinkus Mueller,5.1,35,31,5,35,50,55,5,52,66,8,77
Altbier,Altbier,Uerige Obergärige Hausbrauerei GmbH / Zum Uerige,4.7,34,48,9,55,59,25,1,32,68,12,121
Gerst Amber,Altbier,Yazoo Brewing Company,5.1,10,19,1,21,30,11,4,8,24,2,65
Ad Astra Ale,Altbier,Free State Brewing Co.,5.6,7,30,5,43,43,13,1,13,50,6,93
Copperhead Ale,Altbier,Fordham Brewing Company,5.2,9,32,9,29,54,13,1,11,32,2,112
Ten Years Alt,Altbier,Victory Brewing Company,8.5,14,55,31,48,105,31,0,37,59,19,115
Three Blind Mice,Altbier,Mother's Brewing Company,5.5,11,58,6,47,49,5,1,3,50,5,110
Ishmael,Altbier,Rising Tide Brewing Company,4.9,17,41,1,55,43,18,1,20,80,7,103
Headwall Alt,Altbier,Tuckerman Brewing Co.,4.5,19,42,13,54,62,19,0,25,64,10,135
Alt-eration Ale,Altbier,Hops & Grain,5,21,43,3,54,54,7,0,10,60,9,111
Schell's Schmaltz's Alt,Altbier,August Schell Brewing Company,5.1,21,72,9,48,102,25,1,50,43,13,176
Frankenheim Alt,Altbier,Privatbrauerei Frankenheim,4.8,19,43,5,39,43,13,1,6,45,8,97
Iron Works Alt,Altbier,Metropolitan Brewing,5.5,37,50,16,60,84,32,0,46,83,19,121
Diebels Premium Altbier,Altbier,Brauerei Diebels GmbH & Co KG,4.9,21,27,5,37,33,13,0,13,45,10,70
Mission Amber,Altbier,Mission Brewery,5,24,36,9,59,55,20,2,18,80,7,132
Hövels Original,Altbier,Hövels Hausbrauerei,5.5,22,38,10,47,54,10,1,14,68,2,117
Secret Spot Alt Ale,Altbier,Evolution Craft Brewing Company,6.3,14,53,16,69,67,29,0,23,87,18,103
Lighthouse Amber,Altbier,Cheboygan Brewing Company,5.25,11,67,5,35,86,21,0,28,54,4,138
Série Signature Sticke Alt,Altbier,Les Trois Mousquetaires,6,17,57,14,96,106,23,0,42,122,11,130
Crooked Coast Altbier,Altbier,Driftwood Brewery,5.1,20,36,7,76,47,39,2,40,100,8,76
Gravel Road,Altbier,Rahr & Sons Brewing Company,7.25,5,48,6,54,66,11,0,16,52,9,109
Little Red Cap,Altbier,Grimm Brothers Brewhouse,5.2,27,39,18,47,52,28,4,24,59,6,100
Festivale,Altbier,Beau's All Natural Brewing Company,4.7,29,30,9,72,77,20,0,20,104,10,141
Moby D,Altbier,Buzzards Bay Brewing,5,26,37,14,65,57,33,0,33,107,3,98
Über Alt,Altbier,Rush River Brewing Company,8.5,32,64,28,47,135,49,2,65,55,15,182
Füchschen Alt,Altbier,Brauerei Im Füchschen,4.5,33,54,13,52,57,10,0,14,68,15,100
Sticke It To The Man,Altbier,O'Fallon Brewery,7.5,18,55,50,51,87,22,0,39,47,6,96
Evan Altmighty,Altbier,Blue Mountain Brewery,6.6,21,39,7,40,62,34,0,47,65,5,80
ALTerior Motive,Altbier,COAST Brewing Company,6.3,27,61,11,56,61,46,0,40,77,14,110
The Detroit Dwarf,Altbier,Detroit Beer Co.,6.8,19,57,13,42,68,25,0,29,54,12,70
Olde School Barleywine,Barleywine - American,Dogfish Head Brewery,15,20,55,82,56,170,30,0,107,43,13,62
Brewer's Reserve Bourbon Barrel Barleywine,Barleywine - American,Central Waters Brewing Company,14.3,11,65,94,40,142,25,0,63,23,27,133
Old Ruffian,Barleywine - American,Great Divide Brewing Company,10.2,6,55,31,107,97,27,1,57,120,14,119
Old Horizontal,Barleywine - American,Victory Brewing Company,11,9,49,45,78,83,36,1,52,97,12,117
Behemoth,Barleywine - American,Three Floyds Brewing Co. & Brewpub,10.5,18,71,52,90,125,72,0,101,105,24,105
