#,Country (or dependency),A,B,C,D
1,India,1059633675.00,1428627663.00,1240613620.00,696828385.00
2,China,1264099069.00,1425671352.00,1348191368.00,982372466.00
3,United States,282398554.00,339996563.00,311182845.00,223140018.00
4,Indonesia,214072421.00,277534122.00,244016173.00,148177096.00
5,Pakistan,154369924.00,240485658.00,194454498.00,80624057.00
6,Nigeria,122851984.00,223804632.00,160952853.00,72951439.00
7,Brazil,175873720.00,216422446.00,196353492.00,122288383.00
8,Bangladesh,129193327.00,172954319.00,148391139.00,83929765.00
9,Russia,146844839.00,144444359.00,143242599.00,138257420.00
10,Mexico,97873442.00,128455567.00,112532401.00,67705186.00
11,Ethiopia,67031867.00,126527060.00,89237791.00,34945469.00
12,Japan,126803861.00,123294513.00,128105431.00,117624196.00
13,Philippines,77958223.00,117337368.00,94636700.00,48419546.00
14,Egypt,71371371.00,112716598.00,87252413.00,43748556.00
15,DR Congo,48616317.00,102262808.00,66391257.00,26708686.00
16,Vietnam,79001142.00,98858950.00,87411012.00,52968270.00
17,Iran,65544383.00,89172767.00,75373855.00,38520664.00
18,Turkey,64113547.00,85816199.00,73195345.00,44089069.00
19,Germany,81551677.00,83294633.00,81325090.00,77786703.00
20,Thailand,63066603.00,71801279.00,68270489.00,45737753.00
21,United Kingdom,58850043.00,67736802.00,62760039.00,56326328.00
22,Tanzania,34463704.00,67438106.00,45110527.00,19297659.00
23,France,58665453.00,64756584.00,62444567.00,53713830.00
24,South Africa,46813266.00,60414495.00,51784921.00,29463549.00
25,Italy,56966397.00,58870762.00,59822450.00,56329482.00
26,Kenya,30851606.00,55100586.00,41517895.00,16187124.00
27,Myanmar,45538332.00,54577997.00,49390988.00,33465781.00
28,Colombia,39215135.00,52085168.00,44816108.00,26176195.00
29,South Korea,46788591.00,51784059.00,48813042.00,38170501.00
30,Uganda,24020697.00,48582334.00,32341728.00,13284026.00
31,Sudan,26298773.00,48109006.00,33739933.00,16673586.00
32,Spain,40741651.00,47519628.00,46572772.00,37491666.00
33,Argentina,37070774.00,45773884.00,41100123.00,28024803.00
34,Algeria,30774621.00,45606480.00,35856344.00,18739378.00
35,Iraq,24628858.00,45504560.00,31264875.00,13653369.00
36,Afghanistan,19542982.00,42239854.00,28189672.00,12486631.00
37,Poland,38504431.00,41026067.00,38597353.00,35521429.00
38,Canada,30683313.00,38781291.00,33963412.00,24511510.00
39,Morocco,28554415.00,37840044.00,32464865.00,19678444.00
40,Saudi Arabia,21547390.00,36947025.00,29411929.00,10171710.00
41,Ukraine,48879755.00,36744634.00,45683020.00,49973920.00
42,Angola,16394062.00,36684202.00,23364185.00,8330047.00
43,Uzbekistan,24925554.00,35163944.00,28614227.00,15947129.00
44,Yemen,18628700.00,34449825.00,24743946.00,9204938.00
45,Peru,26654439.00,34352719.00,29229572.00,17492406.00
46,Malaysia,22945150.00,34308525.00,28717731.00,13215707.00
47,Ghana,19665502.00,34121985.00,25574719.00,11865246.00
48,Mozambique,17768505.00,33897354.00,23073723.00,11413587.00
49,Nepal,24559500.00,30896590.00,27161567.00,15600442.00
50,Madagascar,16216431.00,30325732.00,21731053.00,8948162.00
51,Côte d'Ivoire,16799670.00,28873034.00,21120042.00,8303810.00
52,Venezuela,24427729.00,28838499.00,28715022.00,15210443.00
53,Cameroon,15091594.00,28647293.00,19878036.00,8519891.00
54,Niger,11622665.00,27202843.00,16647543.00,6173177.00
55,Australia,19017963.00,26439111.00,22019168.00,14706322.00
56,North Korea,23367059.00,26160821.00,24686435.00,17973650.00
57,Taiwan,22194731.00,23923276.00,23083083.00,18100281.00
58,Mali,11239101.00,23293698.00,15529181.00,7372581.00
59,Burkina Faso,11882888.00,23251485.00,16116845.00,6932967.00
60,Syria,16307654.00,23227014.00,22337563.00,8898954.00
