Date,eth_usd,Open,High,Low,Close,Adj Close,Volume,SMA_20,EMA_20,RSI,MACD,MACD_Signal,Bollinger_Upper,Bollinger_Lower,Bollinger_Bandwidth,Percent_B
09/11/2017,ETH/USD,308.644989,329.4519958,307.0559998,320.8840027,320.8840027,893249984,,,,,,,,,
10/11/2017,ETH/USD,320.67099,324.7179871,294.5419922,299.2529907,299.2529907,885985984,,,,,,,,,
11/11/2017,ETH/USD,298.5859985,319.4530029,298.1919861,314.6809998,314.6809998,842300992,,,,,,,,,
12/11/2017,ETH/USD,314.6900024,319.1530151,298.5130005,307.9079895,307.9079895,1613479936,,,,,,,,,
13/11/2017,ETH/USD,307.0249939,328.4150085,307.0249939,316.7160034,316.7160034,1041889984,,,,,,,,,
14/11/2017,ETH/USD,316.7630005,340.177002,316.7630005,337.631012,337.631012,1069680000,,,,,,,,,
15/11/2017,ETH/USD,337.9639893,340.9119873,329.8129883,333.3569946,333.3569946,722665984,,,,,,,,,
16/11/2017,ETH/USD,333.4429932,336.1589966,323.6059875,330.9240112,330.9240112,797254016,,,,,,,,,
17/11/2017,ETH/USD,330.1669922,334.9639893,327.5230103,332.3940125,332.3940125,621732992,,,,,,,,,
18/11/2017,ETH/USD,331.980011,349.6159973,327.6870117,347.6119995,347.6119995,649638976,,,,,,,,,
19/11/2017,ETH/USD,347.401001,371.2909851,344.7399902,354.3859863,354.3859863,1181529984,,,,,,,,,
20/11/2017,ETH/USD,354.0939941,372.1369934,353.2890015,366.730011,366.730011,807027008,,,,,,,,,
21/11/2017,ETH/USD,367.4429932,372.4700012,350.6929932,360.401001,360.401001,949912000,,,,,,,,,
22/11/2017,ETH/USD,360.3120117,381.4200134,360.1470032,380.6520081,380.6520081,800819008,,,76.4047696,,,,,,
23/11/2017,ETH/USD,381.4389954,425.5480042,376.0880127,410.1659851,410.1659851,1845680000,,,82.38345689,,,,,,
24/11/2017,ETH/USD,412.5010071,480.9729919,402.7579956,474.9110107,474.9110107,2292829952,,,88.98009655,,,,,,
25/11/2017,ETH/USD,475.6759949,485.1919861,461.053009,466.276001,466.276001,1422080000,,,84.43874672,,,,,,
26/11/2017,ETH/USD,465.973999,472.7229919,451.6059875,471.3299866,471.3299866,1197779968,,,84.92374631,,,,,,
27/11/2017,ETH/USD,471.5310059,493.4049988,468.4849854,480.355011,480.355011,1396480000,,,85.77627539,,,,,,
28/11/2017,ETH/USD,480.5180054,482.480011,466.3469849,472.9020081,472.9020081,1346499968,373.9734512,395.8383779,81.6691191,,,498.9318316,249.0150708,249.9167608,0.895846027
29/11/2017,ETH/USD,473.2810059,522.3070068,425.0710144,427.5230103,427.5230103,2675940096,379.3054016,398.8559619,62.15467662,,,503.8473271,254.7634762,249.0838509,0.693579826
30/11/2017,ETH/USD,431.2149963,465.4970093,401.2430115,447.1140137,447.1140137,1903040000,386.6984528,403.4519668,65.93863844,,,508.8867757,264.5101299,244.3766458,0.747223137
